datetime,index_value,vol,total_qtty
2025-11-06 02:15:00.091,1654.89,1657,1657
2025-11-06 02:16:05.091,1655.97,149077,5896050
2025-11-06 02:17:10.086,1653.7,125817,7852145
2025-11-06 02:18:15.086,1653.76,123810,9664588
2025-11-06 02:19:15.088,1653.0,56224,11086467
2025-11-06 02:20:20.086,1652.94,134096,12528099
2025-11-06 02:21:20.091,1653.59,97109,14034607
2025-11-06 02:22:25.087,1654.79,169854,15677235
2025-11-06 02:23:30.086,1655.18,145558,17482631
2025-11-06 02:24:30.087,1655.19,160699,19286832
2025-11-06 02:25:35.087,1656.73,80744,20891058
2025-11-06 02:26:35.089,1656.08,128023,22498562
2025-11-06 02:27:40.086,1654.7,143069,24756077
2025-11-06 02:28:45.085,1654.55,122796,26761773
2025-11-06 02:29:45.086,1653.73,89170,29137252
2025-11-06 02:30:50.086,1651.48,80002,31582892
2025-11-06 02:31:55.089,1651.86,103327,32868277
2025-11-06 02:33:00.088,1650.82,173402,34786522
2025-11-06 02:34:00.094,1649.12,308435,37358561
2025-11-06 02:35:05.086,1649.92,149119,39239944
2025-11-06 02:36:10.085,1650.47,85033,41634576
2025-11-06 02:37:10.086,1650.92,197483,43659561
2025-11-06 02:38:15.086,1651.42,101778,45457729
2025-11-06 02:39:20.087,1651.82,113509,47112097
2025-11-06 02:40:25.090,1651.71,124898,49451175
2025-11-06 02:41:30.085,1653.06,157334,51313567
2025-11-06 02:42:35.084,1654.6,127984,53024918
2025-11-06 02:43:35.087,1656.38,104530,54887497
2025-11-06 02:44:40.086,1655.86,73310,56795411
2025-11-06 02:45:40.089,1656.49,138370,58357945
2025-11-06 02:46:45.085,1656.26,72262,60570157
2025-11-06 02:47:50.087,1657.93,167808,62747502
2025-11-06 02:48:55.085,1656.97,284901,64741353
2025-11-06 02:49:55.086,1656.1,72784,65946251
2025-11-06 02:50:55.089,1655.73,161630,67894177
2025-11-06 02:52:00.088,1655.43,151889,69686086
2025-11-06 02:53:05.087,1654.95,99782,71356934
2025-11-06 02:54:10.084,1655.4,161931,73287011
2025-11-06 02:55:10.085,1655.5,134012,74729757
2025-11-06 02:56:10.088,1657.15,198261,76751465
2025-11-06 02:57:10.089,1657.8,186597,78361196
2025-11-06 02:58:15.086,1658.54,130513,80287112
2025-11-06 02:59:20.087,1658.34,112710,81915280
2025-11-06 03:00:25.088,1657.36,382633,83934824
2025-11-06 03:01:30.086,1656.54,68411,85892937
2025-11-06 03:02:30.087,1655.63,83161,87738860
2025-11-06 03:03:35.086,1655.41,91766,89434754
2025-11-06 03:04:40.087,1654.49,154383,91786538
2025-11-06 03:05:45.086,1653.86,110945,94039217
2025-11-06 03:06:45.090,1653.28,176589,96385670
2025-11-06 03:07:50.086,1652.78,124319,97925719
2025-11-06 03:08:55.086,1652.62,76718,99421059
2025-11-06 03:10:00.087,1652.59,343828,102647575
2025-11-06 03:11:05.086,1652.68,156553,104660974
2025-11-06 03:12:05.087,1652.99,145846,106359177
2025-11-06 03:13:10.086,1652.98,158241,108001709
2025-11-06 03:14:10.088,1652.68,58219,108921032
2025-11-06 03:15:15.086,1652.52,135047,110487484
2025-11-06 03:16:15.088,1652.16,140487,111624181
2025-11-06 03:17:20.086,1651.85,118799,113359914
2025-11-06 03:18:20.088,1652.33,75791,114677553
2025-11-06 03:19:25.087,1651.96,53894,116000962
2025-11-06 03:20:30.086,1651.5,175906,117579210
2025-11-06 03:21:30.088,1651.0,355771,119527496
2025-11-06 03:22:35.085,1650.92,137852,122112491
2025-11-06 03:23:35.086,1651.06,98032,123591238
2025-11-06 03:24:35.090,1651.02,539089,125192496
2025-11-06 03:25:40.085,1650.74,83860,126719522
2025-11-06 03:26:40.087,1650.78,109814,127866673
2025-11-06 03:27:45.086,1650.47,106212,129324513
2025-11-06 03:28:45.087,1650.42,49733,130753044
2025-11-06 03:29:50.085,1649.59,139670,132106103
2025-11-06 03:30:55.087,1649.07,178914,134170352
2025-11-06 03:32:00.090,1648.36,236529,136253982
2025-11-06 03:33:05.086,1647.84,100300,138473284
2025-11-06 03:34:10.093,1647.73,112663,140818688
2025-11-06 03:35:15.087,1647.4,90158,142323938
2025-11-06 03:36:15.088,1647.66,51673,143721463
2025-11-06 03:37:20.086,1648.02,142667,145617626
2025-11-06 03:38:20.087,1647.45,215534,147396020
2025-11-06 03:39:25.097,1647.47,174729,148998344
2025-11-06 03:40:30.086,1646.8,263244,151108732
2025-11-06 03:41:30.089,1647.3,42116,152868207
2025-11-06 03:42:35.085,1647.18,94106,154156954
2025-11-06 03:43:40.089,1646.58,94917,155413459
2025-11-06 03:44:45.086,1646.29,151624,157032788
2025-11-06 03:45:50.086,1645.43,99613,158523782
2025-11-06 03:46:55.087,1644.9,65034,160347594
2025-11-06 03:48:00.088,1644.03,363837,161876273
2025-11-06 03:49:00.089,1644.34,61121,162843658
2025-11-06 03:50:05.085,1644.26,105833,164743865
2025-11-06 03:51:10.088,1644.29,142401,166395310
2025-11-06 03:52:10.089,1644.29,106007,167956668
2025-11-06 03:53:15.084,1645.0,101649,170052217
2025-11-06 03:54:15.087,1645.64,186802,171436367
2025-11-06 03:55:20.085,1644.67,167523,173135480
2025-11-06 03:56:20.086,1644.91,286831,174543706
2025-11-06 03:57:20.087,1644.57,86102,176207084
2025-11-06 03:58:25.085,1644.87,51572,177793235
2025-11-06 03:59:30.086,1644.7,115020,178863258
2025-11-06 04:00:35.090,1644.43,95859,180325612
2025-11-06 04:01:40.085,1644.39,72222,181694702
2025-11-06 04:02:40.087,1643.78,86383,183011387
2025-11-06 04:03:45.087,1643.48,70639,184045486
2025-11-06 04:04:50.090,1643.99,98479,185864339
2025-11-06 04:05:55.086,1642.95,38075,187050156
2025-11-06 04:07:00.087,1643.75,61390,188159039
2025-11-06 04:08:00.092,1642.95,158003,189371328
2025-11-06 04:09:05.087,1643.25,101415,190370227
2025-11-06 04:10:10.086,1642.94,156900,191912532
2025-11-06 04:11:15.086,1642.45,55360,193295997
2025-11-06 04:12:20.086,1642.57,45647,194373628
2025-11-06 04:13:20.087,1642.45,169093,195446446
2025-11-06 04:14:25.085,1642.01,61650,196674681
2025-11-06 04:15:30.085,1641.76,90509,197831509
2025-11-06 04:16:30.086,1642.04,61550,198698059
2025-11-06 04:17:35.085,1642.34,72217,199906467
2025-11-06 04:18:35.086,1642.06,148841,201062696
2025-11-06 04:19:40.086,1641.79,66863,202521239
2025-11-06 04:20:40.092,1642.42,64204,203334496
2025-11-06 04:21:45.090,1641.66,59701,204257834
2025-11-06 04:22:50.084,1641.16,134900,205723872
2025-11-06 04:23:50.086,1641.26,94362,206794096
2025-11-06 04:24:50.089,1640.95,54333,208135721
2025-11-06 04:25:55.084,1640.63,49092,209434434
2025-11-06 04:26:55.086,1640.45,72520,210589928
2025-11-06 04:27:55.087,1640.36,76617,211783044
2025-11-06 04:29:00.086,1640.81,309402,213849228
2025-11-06 06:01:05.085,1638.65,276058,227671122
2025-11-06 06:02:05.086,1638.83,351428,230686078
2025-11-06 06:03:05.090,1640.3,228459,233814961
2025-11-06 06:04:10.085,1641.09,462249,237649287
2025-11-06 06:05:15.086,1641.88,405710,243008203
2025-11-06 06:06:20.088,1642.77,294208,246593267
2025-11-06 06:07:25.085,1643.19,342203,249920195
2025-11-06 06:08:25.086,1642.98,593947,252239791
2025-11-06 06:09:30.087,1643.65,133905,255001029
2025-11-06 06:10:35.085,1642.34,239484,258334576
2025-11-06 06:11:40.086,1642.97,285733,260676237
2025-11-06 06:12:40.088,1643.17,400592,263563813
2025-11-06 06:13:45.085,1643.5,98319,267287943
2025-11-06 06:14:45.086,1643.8,311447,270533705
2025-11-06 06:15:45.088,1644.07,192774,273335400
2025-11-06 06:16:50.084,1644.62,98959,276808452
2025-11-06 06:17:50.085,1645.59,217983,279483283
2025-11-06 06:18:50.089,1645.84,638255,283951131
2025-11-06 06:19:55.085,1647.12,238000,290360617
2025-11-06 06:20:55.086,1647.61,293956,292960509
2025-11-06 06:21:55.088,1647.61,516772,297533351
2025-11-06 06:23:00.089,1648.42,169484,301635132
2025-11-06 06:24:05.086,1647.93,204155,306110178
2025-11-06 06:25:05.088,1650.03,110367,309151510
2025-11-06 06:26:10.087,1648.91,172069,311861206
2025-11-06 06:27:15.086,1648.06,262198,314991781
2025-11-06 06:28:15.088,1648.95,305731,318154575
2025-11-06 06:29:20.085,1648.35,78184,320843209
2025-11-06 06:30:25.085,1648.56,164422,323220076
2025-11-06 06:31:30.086,1648.4,108769,327105054
2025-11-06 06:32:35.086,1647.83,325849,329881139
2025-11-06 06:33:35.088,1647.65,344523,331947819
2025-11-06 06:34:40.087,1648.1,219009,334305001
2025-11-06 06:35:45.085,1648.14,136380,336345221
2025-11-06 06:36:45.086,1648.09,217438,338389485
2025-11-06 06:37:50.087,1648.42,146724,340417032
2025-11-06 06:38:55.085,1647.57,146416,342831722
2025-11-06 06:39:55.086,1647.58,89998,345250675
2025-11-06 06:41:00.088,1647.38,585005,348127939
2025-11-06 06:42:05.086,1646.75,109115,350159628
2025-11-06 06:43:05.087,1646.72,282849,352539462
2025-11-06 06:44:05.089,1646.32,94828,354977574
2025-11-06 06:45:10.088,1645.41,94725,358047617
2025-11-06 06:46:15.086,1645.02,229552,362188442
2025-11-06 06:47:20.088,1642.62,182286,367249054
2025-11-06 06:48:25.087,1642.92,223072,371481911
2025-11-06 06:49:25.089,1643.34,93702,374564797
2025-11-06 06:50:30.087,1642.73,157576,377872413
2025-11-06 06:51:35.086,1642.92,207890,379924883
2025-11-06 06:52:35.089,1641.64,384943,382796848
2025-11-06 06:53:40.087,1641.5,287354,386140536
2025-11-06 06:54:40.089,1640.95,161412,389485350
2025-11-06 06:55:45.089,1640.92,215522,392085635
2025-11-06 06:56:50.085,1642.46,175176,394372728
2025-11-06 06:57:50.087,1643.05,223286,396878758
2025-11-06 06:58:50.089,1643.9,176594,398516474
2025-11-06 06:59:55.087,1644.4,292885,400703170
2025-11-06 07:01:00.089,1645.07,116140,403916224
2025-11-06 07:02:05.083,1646.61,153317,406210731
2025-11-06 07:03:05.087,1647.2,241469,409391049
2025-11-06 07:04:10.089,1647.78,170784,413178471
2025-11-06 07:05:15.085,1647.84,208062,415879111
2025-11-06 07:06:20.086,1645.2,284196,419658588
2025-11-06 07:07:25.087,1645.52,111195,421632968
2025-11-06 07:08:30.091,1643.87,226990,423954713
2025-11-06 07:09:35.085,1643.84,140301,426412194
2025-11-06 07:10:40.086,1644.45,103633,428306816
2025-11-06 07:11:40.087,1645.36,93660,429835422
2025-11-06 07:12:45.085,1645.37,137602,431500759
2025-11-06 07:13:45.086,1645.75,98993,433074809
2025-11-06 07:14:50.084,1648.46,202670,436232769
2025-11-06 07:15:50.087,1649.18,249268,438359153
2025-11-06 07:16:50.089,1650.81,410550,441831738
2025-11-06 07:17:55.085,1652.08,306589,446010468
2025-11-06 07:18:55.086,1654.34,559506,452385211
2025-11-06 07:19:55.090,1655.53,393662,458089559
2025-11-06 07:21:00.087,1655.24,772532,464457838
2025-11-06 07:22:00.088,1653.58,312452,468861091
2025-11-06 07:23:05.085,1652.67,325312,472742002
2025-11-06 07:24:05.090,1653.21,203782,475882270
2025-11-06 07:25:10.093,1652.53,407120,479032719
2025-11-06 07:26:15.086,1651.13,264954,482534878
2025-11-06 07:27:15.091,1650.01,229366,486049883
2025-11-06 07:28:20.087,1647.05,748853,491597707
2025-11-06 07:29:20.088,1645.86,513057,498497458
2025-11-06 07:45:05.095,1644.61,36878814,539800258
